Last Update,Neighbourhood,Development,Developer,Floor Level,Apartment Number ,ApartmentType,Internal Area,External Area,Total Area,Rate,Price,Discounted amount,Launch day Price Incl.VAT,Status,Orientation/View
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,4th,418,STUDIO,31,0,31,61258,1899000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,4th,419,STUDIO,30,0,30,61667,1850000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,4th,421,STUDIO,29,0,29,63793,1850000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,4th,422,STUDIO,30,0,30,61667,1850000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,5th,501,STUDIO,41,11,52,49038,2550000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,5th,502,STUDIO,30,13,43,51140,2199000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,5th,504,STUDIO,30,0,30,64300,1929000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,5th,505,STUDIO,30,0,30,66633,1999000,,,UNSOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,5th,506,STUDIO,30,0,30,66633,1999000,,,UNSOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,5th,507,STUDIO,30,0,30,66633,1999000,,,UNSOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,5th,508,STUDIO,31,0,31,62903,1950000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,5th,509,STUDIO,31,0,31,62903,1950000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,5th,510,STUDIO,30,0,30,63300,1899000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,5th,511,STUDIO,30,0,30,63300,1899000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,5th,512,STUDIO,30,0,30,64300,1929000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,5th,514,STUDIO,20,8,28,66071,1850000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,5th,515,STUDIO,31,0,31,64484,1999000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,5th,516,STUDIO,31,0,31,64484,1999000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,5th,517,STUDIO,30,0,30,64967,1949000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,5th,520,STUDIO,29,0,29,67207,1949000,,,SOLD,
10-Jan-23,Sea Point,The Ivory,Berman Brothers,G,G01,STUDIO,32,13,45,51222,2305000,,,SOLD,
10-Jan-23,Sea Point,The Ivory,Berman Brothers,G,G02,STUDIO,25,15,40,44875,1795000,,,SOLD,
10-Jan-23,Sea Point,The Ivory,Berman Brothers,G,G03,STUDIO,25,15,40,47375,1895000,,,SOLD,
10-Jan-23,Sea Point,The Ivory,Berman Brothers,G,G04,STUDIO,25,15,40,47375,1895000,,,SOLD,
10-Jan-23,Sea Point,The Ivory,Berman Brothers,G,G05,STUDIO,25,15,40,44875,1795000,,,UNSOLD,
10-Jan-23,Sea Point,The Ivory,Berman Brothers,G,G06,STUDIO,32,50,82,30427,2495000,,,UNSOLD,
10-Jan-23,Sea Point,The Ivory,Berman Brothers,G,G07,STUDIO,25,18,43,46395,1995000,,,SOLD,
10-Jan-23,Sea Point,The Ivory,Berman Brothers,1st,101,STUDIO,32,2,34,60294,2050000,,,SOLD,
10-Jan-23,Sea Point,The Ivory,Berman Brothers,1st,102,STUDIO,32,3,35,57000,1995000,,,UNSOLD,
10-Jan-23,Sea Point,The Ivory,Berman Brothers,1st,103,STUDIO,25,0,25,58000,1450000,,,SOLD,
10-Jan-23,Sea Point,The Ivory,Berman Brothers,1st,104,STUDIO,25,0,25,58000,1450000,,,SOLD,
10-Jan-23,Sea Point,The Ivory,Berman Brothers,1st,105,STUDIO,25,0,25,58000,1450000,,,SOLD,
10-Jan-23,Sea Point,The Ivory,Berman Brothers,1st,106,STUDIO,25,0,25,59800,1495000,,,SOLD,
10-Jan-23,Sea Point,The Ivory,Berman Brothers,1st,107,STUDIO,25,0,25,62000,1550000,,,SOLD,
10-Jan-23,Sea Point,The Ivory,Berman Brothers,1st,108,STUDIO,25,0,25,63800,1595000,,,SOLD,
10-Jan-23,Sea Point,The Ivory,Berman Brothers,2nd,201,STUDIO,32,2,34,63235,2150000,,,SOLD,
10-Jan-23,Sea Point,The Ivory,Berman Brothers,2nd,202,STUDIO,32,3,35,67857,2375000,,,SOLD,
10-Jan-23,Sea Point,The Ivory,Berman Brothers,2nd,203,STUDIO,25,0,25,63960,1599000,,,SOLD,
10-Jan-23,Sea Point,The Ivory,Berman Brothers,2nd,204,STUDIO,25,0,25,63960,1599000,,,SOLD,
10-Jan-23,Sea Point,The Ivory,Berman Brothers,2nd,205,STUDIO,25,0,25,63960,1599000,,,SOLD,
10-Jan-23,Sea Point,The Ivory,Berman Brothers,2nd,206,STUDIO,25,0,25,63960,1599000,,,SOLD,
10-Jan-23,Sea Point,The Ivory,Berman Brothers,2nd,207,STUDIO,25,0,25,67800,1695000,,,SOLD,
10-Jan-23,Sea Point,The Ivory,Berman Brothers,2nd,208,STUDIO,25,0,25,67800,1695000,,,SOLD,
10-Jan-23,Sea Point,The Ivory,Berman Brothers,3rd,301,STUDIO,32,2,34,66176,2250000,,,SOLD,
10-Jan-23,Sea Point,The Ivory,Berman Brothers,3rd,302,STUDIO,32,3,35,70714,2475000,,,SOLD,
10-Jan-23,Sea Point,The Ivory,Berman Brothers,3rd,303,STUDIO,25,0,25,71800,1795000,,,SOLD,
10-Jan-23,Sea Point,The Ivory,Berman Brothers,3rd,304,STUDIO,25,0,25,71800,1795000,,,SOLD,
10-Jan-23,Sea Point,The Ivory,Berman Brothers,4th,401,STUDIO,32,2,34,81618,2775000,,,SOLD,
10-Jan-23,Sea Point,The Ivory,Berman Brothers,4th,402,STUDIO,32,3,35,65571,2295000,,,UNSOLD,
10-Jan-23,Sea Point,The Ivory,Berman Brothers,4th,403,STUDIO,25,0,25,75800,1895000,,,SOLD,
10-Jan-23,Sea Point,The Ivory,Berman Brothers,4th,404,STUDIO,25,0,25,75800,1895000,,,SOLD,
10-Feb-23,Sea Point,Station House,Berman Brothers,1st,115,1 BED,38,9,47,75532,3550000,,,SOLD,C SP/Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,1st,128,1 BED,35,8,43,80233,3450000,,,SOLD,C CT/Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,1st,129,1 BED,40,49,89,41910,3730000,,,UNSOLD,C CT/Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,2nd,216,1 BED,49,10,59,56780,3350000,,,SOLD,F Sea Point
10-Feb-23,Sea Point,Station House,Berman Brothers,2nd,220,1 BED,38,17,55,49000,2695000,,,SOLD,F Sea Point
10-Feb-23,Sea Point,Station House,Berman Brothers,2nd,221,1 BED,40,48,88,43523,3830000,,,SOLD,C SP/Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,2nd,234,1 BED,39,41,80,44875,3590000,,,SOLD,C CT/Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,2nd,235,1 BED,38,17,55,48182,2650000,,,SOLD,F Cape Town
10-Feb-23,Sea Point,Station House,Berman Brothers,3rd,316,1 BED,49,14,63,54762,3450000,,,SOLD,F Sea Point
10-Feb-23,Sea Point,Station House,Berman Brothers,3rd,320,1 BED,38,17,55,50818,2795000,,,SOLD,F Sea Point
10-Feb-23,Sea Point,Station House,Berman Brothers,3rd,321,1 BED,39,41,80,46875,3750000,,,SOLD,C SP/Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,3rd,334,1 BED,39,41,80,46125,3690000,,,SOLD,C CT/Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,3rd,335,1 BED,38,17,55,50000,2750000,,,SOLD,F Cape Town
10-Feb-23,Sea Point,Station House,Berman Brothers,4th,402,1 BED,49,10,59,58475,3450000,,,SOLD,F Cape Town
10-Feb-23,Sea Point,Station House,Berman Brothers,4th,413,1 BED,49,10,59,60169,3550000,,,SOLD,F Sea Point
10-Feb-23,Sea Point,Station House,Berman Brothers,4th,417,1 BED,38,9,47,59362,2790000,,,SOLD,F Sea Point
10-Feb-23,Sea Point,Station House,Berman Brothers,5th,502,1 BED,49,10,59,60169,3550000,,,SOLD,F Cape Town
10-Feb-23,Sea Point,Station House,Berman Brothers,5th,504,1 BED,53,9,62,69355,4300000,,,SOLD,Mountain
10-Feb-23,Sea Point,Station House,Berman Brothers,5th,507,1 BED,53,9,62,69355,4300000,,,SOLD,Mountain
10-Feb-23,Sea Point,Station House,Berman Brothers,5th,513,1 BED,49,10,59,61864,3650000,,,SOLD,F Sea Point
