Last Update,Area,Development,Developer,Floor Level,Apartment Number ,ApartmentType,Internal Area ,External Area ,Total Area ,Rate per m2,Price Incl. VAT ,Discounted amount,Launch day Price Incl.VAT,Sold/Unsold(Status),Orientation/View
,Sea Point,EIGHTY2 ON M,Blok,1st,102,1 bed,37,8,45,52222,2350000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,1st,103,Studio,30,3,33,47727,1575000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,1st,104,Mini,19,3,22,50000,1100000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,1st,105,Mini,15,3,18,55278,995000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,1st,106,Mini,17,1,18,70556,1270000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,1st,107,Mini,17,5,22,47727,1050000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,1st,108,1 bed,43,5,48,48958,2350000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,1st,109,Studio,33,5,38,47368,1800000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,2nd,201,Studio,33,5,38,46711,1775000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,2nd,202,1 bed,36,3,39,57692,2250000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,2nd,203,Studio,30,4,34,50735,1725000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,2nd,204,Micro,24,3,27,51852,1400000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,2nd,205,Studio,30,5,35,52143,1825000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,2nd,206,Studio,30,6,36,50694,1825000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,2nd,207,Studio,30,7,37,49324,1825000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,2nd,208,1 bed,35,8,43,40698,1750000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,2nd,209,Micro,20,7,27,46296,1250000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,2nd,210,Micro,23,6,29,48103,1395000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,2nd,211,Micro,21,4,25,48000,1200000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,2nd,212,1 bed,32,9,41,54878,2250000,,,Unsold,
,Sea Point,EIGHTY2 ON M,Blok,2nd,213,Micro,21,4,25,48000,1200000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,2nd,214,Mini,17,2,19,52632,1000000,,,Sold,
